,number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_first_layer,params_lr,params_second_layer,state,deceased_recall,hospitalized_recall,nonhospitalized_recall,recovered_recall,mean_recall
88,88,0.0128,2020-12-15 06:52:13.320319,2020-12-15 06:56:54.121960,0 days 00:04:40.801641,relu,sigmoid,26,0.0011339266689742798,189,COMPLETE,0.0032,0.42888479933867385,0.9973870353687883,0.09026295345982767,0.37993369704182245
89,89,0.010533333333333334,2020-12-15 06:56:54.122960,2020-12-15 07:02:05.370074,0 days 00:05:11.247114,relu,sigmoid,66,0.0008659217095621914,175,COMPLETE,0.0026333333333333334,0.4314700730214341,0.9974046363160405,0.1194456795308529,0.3877384305504152
90,90,0.03760053368912609,2020-12-15 07:02:05.371098,2020-12-15 07:06:55.880132,0 days 00:04:50.509034,relu,sigmoid,51,0.0004089924279743006,199,COMPLETE,0.009400133422281522,0.2740006298344716,0.9951140881720848,0.2817433712723902,0.39006455567530707
91,91,0.07386693351122971,2020-12-15 07:06:55.881362,2020-12-15 07:11:26.758602,0 days 00:04:30.877240,relu,sigmoid,32,0.0005035967711963217,194,COMPLETE,0.018466733377807427,0.4342846458165214,0.9943700533288679,0.08463525030140376,0.38293917070615013
92,92,0.015466666666666665,2020-12-15 07:11:26.759617,2020-12-15 07:15:23.575612,0 days 00:03:56.815995,relu,sigmoid,40,0.0002474150942126598,183,COMPLETE,0.0038666666666666663,0.24724447418662776,0.9966181844342457,0.35983527748343863,0.40189115069274467
93,93,0.016802134756504335,2020-12-15 07:15:23.576653,2020-12-15 07:19:31.918537,0 days 00:04:08.341884,relu,sigmoid,56,0.0003335751474203546,197,COMPLETE,0.004200533689126084,0.3721012852559687,0.9963685699309881,0.4332017801425251,0.451468042254652
94,94,0.07040800533689126,2020-12-15 07:19:31.919575,2020-12-15 07:23:27.049519,0 days 00:03:55.129944,relu,sigmoid,27,0.0005631532619302195,189,COMPLETE,0.017602001334222815,0.2540024012439231,0.9948180740530128,0.2758664421465807,0.38557222969443483
95,95,0.029872092506115187,2020-12-15 07:23:27.050413,2020-12-15 07:27:25.623525,0 days 00:03:58.573112,relu,sigmoid,25,0.0005893109115687953,190,COMPLETE,0.007468023126528797,0.30504064400574726,0.9984855047875888,0.23539820842115117,0.386598095085254
96,96,0.027205425839448526,2020-12-15 07:27:25.624434,2020-12-15 07:31:50.379313,0 days 00:04:24.754879,relu,sigmoid,45,0.001821191115360246,179,COMPLETE,0.006801356459862132,0.43945125671659424,0.998105481374934,0.14052710171976956,0.39622129906779
97,97,0.03880329108294418,2020-12-15 07:31:50.380234,2020-12-15 07:35:51.213469,0 days 00:04:00.833235,relu,sigmoid,36,0.0004327627923115451,172,COMPLETE,0.009700822770736046,0.2521247072253824,0.9960525481439187,0.4825779700522155,0.43511401204806316
98,98,0.025201778963753613,2020-12-15 07:35:51.214384,2020-12-15 07:39:40.531149,0 days 00:03:49.316765,relu,sigmoid,20,0.0007384080162250152,194,COMPLETE,0.006300444740938403,0.3065817702285118,0.9948860761522388,0.09611271890803909,0.350970252507432
99,99,0.09413422281521014,2020-12-15 07:39:40.532166,2020-12-15 07:43:48.502671,0 days 00:04:07.970505,relu,sigmoid,31,0.0023494461406635605,168,COMPLETE,0.023533555703802535,0.36452555750191906,0.9954853240149589,0.14647342054011908,0.3825044644401999
100,100,0.0002666666666666667,2020-12-15 07:43:48.503740,2020-12-15 07:47:55.596922,0 days 00:04:07.093182,relu,sigmoid,27,0.0027007790648352938,168,COMPLETE,6.666666666666667e-05,0.4363522742929124,0.9964621788020942,0.09997518729762679,0.38321407676482505
101,101,0.007466666666666666,2020-12-15 07:47:55.597836,2020-12-15 07:52:12.872783,0 days 00:04:17.274947,relu,sigmoid,41,0.0011049628571977855,175,COMPLETE,0.0018666666666666664,0.46619855531718074,0.9969126117387994,0.11115745255989828,0.39403382157063627
102,102,0.0256,2020-12-15 07:52:12.873752,2020-12-15 07:56:17.074357,0 days 00:04:04.200605,relu,sigmoid,33,0.0005514468624816971,200,COMPLETE,0.0064,0.32075304584014014,0.9968878039812067,0.09203298462347739,0.354018458611206
103,103,0.030133333333333335,2020-12-15 07:56:17.075274,2020-12-15 08:00:28.272056,0 days 00:04:11.196782,relu,sigmoid,28,0.003746668135244962,185,COMPLETE,0.007533333333333334,0.37755821048280747,0.9969118055045033,0.09762165601123259,0.36990625133296917
104,104,0.015866666666666664,2020-12-15 08:00:28.272955,2020-12-15 08:04:25.057474,0 days 00:03:56.784519,relu,sigmoid,39,0.00027935860851676845,195,COMPLETE,0.003966666666666666,0.3284448993248962,0.9966813887737376,0.2033394984653746,0.38310811330766875
105,105,0.0002666666666666667,2020-12-15 08:04:25.058441,2020-12-15 08:08:10.326492,0 days 00:03:45.268051,relu,sigmoid,20,0.00014709190607912614,152,COMPLETE,6.666666666666667e-05,0.2963627059263488,0.996227759997508,0.43999858499583244,0.433163929396589
106,106,0.0,2020-12-15 08:08:10.327438,2020-12-15 08:12:34.363051,0 days 00:04:24.035613,relu,sigmoid,54,0.0009271572234847849,139,COMPLETE,0.0,0.28023697521994995,0.9994367661035339,0.04899483170869922,0.33216714325804575
107,107,0.0,2020-12-15 08:12:34.363998,2020-12-15 08:17:00.246800,0 days 00:04:25.882802,relu,sigmoid,44,0.0014219303559855178,189,COMPLETE,0.0,0.41228177219674456,0.9987887249873199,0.10909288090678684,0.3800408445227128
108,108,0.02213333333333333,2020-12-15 08:17:00.247819,2020-12-15 08:20:59.050126,0 days 00:03:58.802307,relu,sigmoid,24,0.002152060090957262,166,COMPLETE,0.005533333333333333,0.36981419883086974,0.9951180916028568,0.13293322364829058,0.3758497118538376
